sample_number	collection_day	ear_tag	sample_id	kinetic_group
1	D4	7201	1_D4_7201	Responder
2	D4	7202	2_D4_7202	Responder
3	D4	7205	3_D4_7205	Responder
4	D4	7206	4_D4_7206	Responder
5	D4	7208	5_D4_7208	Responder
6	D4	7210	6_D4_7210	Responder
7	D4	7221	7_D4_7221	Responder
8	D4	7226	8_D4_7226	Responder
9	D4	7227	9_D4_7227	Responder
10	D4	7228	10_D4_7228	Responder
11	D4	7229	11_D4_7229	Responder
12	D4	311	12_D4_311	Responder
13	D4	315	13_D4_315	Responder
14	D4	322	14_D4_322	Responder
15	D4	327	15_D4_327	Responder
16	D4	7203	16_D4_7203	NonResponder
17	D4	7220	17_D4_7220	NonResponder
18	D4	7222	18_D4_7222	NonResponder
19	D4	304	19_D4_304	NonResponder
20	D4	305	20_D4_305	NonResponder
21	D4	308	21_D4_308	NonResponder
22	D4	310	22_D4_310	NonResponder
23	D4	313	23_D4_313	NonResponder
24	D4	316	24_D4_316	NonResponder
25	D4	320	25_D4_320	NonResponder
26	D4	321	26_D4_321	NonResponder
27	D4	323	27_D4_323	NonResponder
28	D4	328	28_D4_328	NonResponder
29	D4	329	29_D4_329	NonResponder
30	D4	7218	30_D4_7218	StableDisease
31	D4	7223	31_D4_7223	StableDisease
32	D4	7224	32_D4_7224	StableDisease
33	D4	7225	33_D4_7225	StableDisease
34	D4	302	34_D4_302	StableDisease
35	D4	306	35_D4_306	StableDisease
36	D4	303	36_D4_303	StableDisease
37	D4	309	37_D4_309	StableDisease
38	D4	312	38_D4_312	StableDisease
39	D4	314	39_D4_314	StableDisease
40	D4	317	40_D4_317	StableDisease
41	D4	318	41_D4_318	StableDisease
42	D4	319	42_D4_319	StableDisease
43	D4	324	43_D4_324	StableDisease
44	D4	325	44_D4_325	StableDisease
45	D9	7201	45_D9_7201	Responder
46	D9	7202	46_D9_7202	Responder
47	D9	7205	47_D9_7205	Responder
48	D9	7206	48_D9_7206	Responder
49	D9	7208	49_D9_7208	Responder
50	D9	7210	50_D9_7210	Responder
51	D9	7221	51_D9_7221	Responder
52	D9	7226	52_D9_7226	Responder
53	D9	7227	53_D9_7227	Responder
54	D9	7228	54_D9_7228	Responder
55	D9	7229	55_D9_7229	Responder
56	D9	311	56_D9_311	Responder
57	D9	315	57_D9_315	Responder
58	D9	322	58_D9_322	Responder
59	D9	327	59_D9_327	Responder
60	D9	7203	60_D9_7203	NonResponder
61	D9	7220	61_D9_7220	NonResponder
62	D9	7222	62_D9_7222	NonResponder
63	D9	304	63_D9_304	NonResponder
64	D9	305	64_D9_305	NonResponder
65	D9	308	65_D9_308	NonResponder
66	D9	310	66_D9_310	NonResponder
67	D9	313	67_D9_313	NonResponder
68	D9	316	68_D9_316	NonResponder
69	D9	320	69_D9_320	NonResponder
70	D9	321	70_D9_321	NonResponder
71	D9	323	71_D9_323	NonResponder
72	D9	328	72_D9_328	NonResponder
73	D9	329	73_D9_329	NonResponder
74	D9	330	74_D9_330	NonResponder
75	D9	7218	75_D9_7218	StableDisease
76	D9	7223	76_D9_7223	StableDisease
77	D9	7224	77_D9_7224	StableDisease
78	D9	7225	78_D9_7225	StableDisease
79	D9	302	79_D9_302	StableDisease
80	D9	306	80_D9_306	StableDisease
81	D9	303	81_D9_303	StableDisease
82	D9	309	82_D9_309	StableDisease
83	D9	312	83_D9_312	StableDisease
84	D9	314	84_D9_314	StableDisease
85	D9	317	85_D9_317	StableDisease
86	D9	318	86_D9_318	StableDisease
87	D9	319	87_D9_319	StableDisease
88	D9	324	88_D9_324	StableDisease
89	D9	325	89_D9_325	StableDisease
90	D17	7201	90_D17_7201	Responder
91	D17	7202	91_D17_7202	Responder
92	D17	7205	92_D17_7205	Responder
93	D17	7208	93_D17_7208	Responder
94	D17	7210	94_D17_7210	Responder
95	D17	7221	95_D17_7221	Responder
96	D17	7226	96_D17_7226	Responder
97	D17	7227	97_D17_7227	Responder
98	D17	7228	98_D17_7228	Responder
99	D17	7229	99_D17_7229	Responder
100	D17	311	100_D17_311	Responder
101	D17	315	101_D17_315	Responder
102	D17	322	102_D17_322	Responder
103	D17	327	103_D17_327	Responder
104	D17	7203	104_D17_7203	Responder
105	D17	7220	105_D17_7220	NonResponder
106	D17	7222	106_D17_7222	NonResponder
107	D17	304	107_D17_304	NonResponder
108	D17	305	108_D17_305	NonResponder
109	D17	308	109_D17_308	NonResponder
110	D17	310	110_D17_310	NonResponder
111	D17	313	111_D17_313	NonResponder
112	D17	316	112_D17_316	NonResponder
113	D17	320	113_D17_320	NonResponder
114	D17	321	114_D17_321	NonResponder
115	D17	323	115_D17_323	NonResponder
116	D17	328	116_D17_328	NonResponder
117	D17	329	117_D17_329	NonResponder
118	D17	330	118_D17_330	NonResponder
119	D17	7218	119_D17_7218	StableDisease
120	D17	7223	120_D17_7223	StableDisease
121	D17	7224	121_D17_7224	StableDisease
122	D17	7225	122_D17_7225	StableDisease
123	D17	302	123_D17_302	StableDisease
124	D17	306	124_D17_306	StableDisease
125	D17	303	125_D17_303	StableDisease
126	D17	309	126_D17_309	StableDisease
127	D17	312	127_D17_312	StableDisease
128	D17	314	128_D17_314	StableDisease
129	D17	317	129_D17_317	StableDisease
130	D17	318	130_D17_318	StableDisease
131	D17	319	131_D17_319	StableDisease
132	D17	324	132_D17_324	StableDisease
133	D17	325	133_D17_325	StableDisease
134	D24	7201	134_D24_7201	Responder
135	D24	7202	135_D24_7202	Responder
136	D24	7205	136_D24_7205	Responder
137	D24	7206	137_D24_7206	Responder
138	D24	7208	138_D24_7208	Responder
139	D24	7210	139_D24_7210	Responder
140	D24	7221	140_D24_7221	Responder
141	D24	7226	141_D24_7226	Responder
142	D24	7227	142_D24_7227	Responder
143	D24	7228	143_D24_7228	Responder
