AUC	sensitivity	specificity	group	timepoint	sig_name	Cohort	id	data_type
1	0.68	0.909090909090909	0.43956043956044	aPD1	PRE	CD38	Foy1_2022	Foy1_2022_aPD1_PRE	Bulk
2	0.8	0.909090909090909	0.615384615384615	aPD1	PRE	CXCL9	Foy1_2022	Foy1_2022_aPD1_PRE	Bulk
3	0.73	0.727272727272727	0.67032967032967	aPD1	PRE	CD274	Foy1_2022	Foy1_2022_aPD1_PRE	Bulk
4	0.5	0	1	aPD1	PRE	MEX3B	Foy1_2022	Foy1_2022_aPD1_PRE	Bulk
5	0.76	0.818181818181818	0.681318681318681	aPD1	PRE	chemo_12	Foy1_2022	Foy1_2022_aPD1_PRE	Bulk
6	0.78	1	0.483516483516484	aPD1	PRE	POPLAR_teff	Foy1_2022	Foy1_2022_aPD1_PRE	Bulk
7	0.56	0.363636363636364	0.802197802197802	aPD1	PRE	proliferation	Foy1_2022	Foy1_2022_aPD1_PRE	Bulk
8	0.76	0.727272727272727	0.758241758241758	aPD1	PRE	teff_ifng	Foy1_2022	Foy1_2022_aPD1_PRE	Bulk
9	0.38	1	0.164835164835165	aPD1	PRE	stroma_emt	Foy1_2022	Foy1_2022_aPD1_PRE	Bulk
10	0.31	1	0.0549450549450549	aPD1	PRE	tgfb	Foy1_2022	Foy1_2022_aPD1_PRE	Bulk
11	0.74	1	0.494505494505495	aPD1	PRE	mean_score	Foy1_2022	Foy1_2022_aPD1_PRE	Bulk
12	0.28	1	0.125	aPD1	ON/POST	CD38	Liu_2021	Liu_2021_aPD1_ON/POST	Bulk
13	0.5	1	0.25	aPD1	PRE	CD38	Liu_2021	Liu_2021_aPD1_PRE	Bulk
14	0.69	0.75	0.875	aPD1	ON/POST	CXCL9	Liu_2021	Liu_2021_aPD1_ON/POST	Bulk
15	0.67	0.666666666666667	0.75	aPD1	PRE	CXCL9	Liu_2021	Liu_2021_aPD1_PRE	Bulk
16	0.69	0.75	0.625	aPD1	ON/POST	CD274	Liu_2021	Liu_2021_aPD1_ON/POST	Bulk
17	0.54	0.666666666666667	0.75	aPD1	PRE	CD274	Liu_2021	Liu_2021_aPD1_PRE	Bulk
18	0.91	1	0.75	aPD1	ON/POST	MEX3B	Liu_2021	Liu_2021_aPD1_ON/POST	Bulk
19	0.58	1	0.375	aPD1	PRE	MEX3B	Liu_2021	Liu_2021_aPD1_PRE	Bulk
20	0.69	0.75	0.875	aPD1	ON/POST	chemo_12	Liu_2021	Liu_2021_aPD1_ON/POST	Bulk
21	0.75	1	0.5	aPD1	PRE	chemo_12	Liu_2021	Liu_2021_aPD1_PRE	Bulk
22	0.75	0.5	1	aPD1	ON/POST	POPLAR_teff	Liu_2021	Liu_2021_aPD1_ON/POST	Bulk
23	0.83	0.666666666666667	1	aPD1	PRE	POPLAR_teff	Liu_2021	Liu_2021_aPD1_PRE	Bulk
24	0.12	0	1	aPD1	ON/POST	proliferation	Liu_2021	Liu_2021_aPD1_ON/POST	Bulk
25	0.17	0	1	aPD1	PRE	proliferation	Liu_2021	Liu_2021_aPD1_PRE	Bulk
26	0.78	0.5	0.625	aPD1	ON/POST	teff_ifng	Liu_2021	Liu_2021_aPD1_ON/POST	Bulk
27	0.79	0.666666666666667	0.875	aPD1	PRE	teff_ifng	Liu_2021	Liu_2021_aPD1_PRE	Bulk
28	0.81	0.75	1	aPD1	ON/POST	stroma_emt	Liu_2021	Liu_2021_aPD1_ON/POST	Bulk
29	0.54	0.333333333333333	1	aPD1	PRE	stroma_emt	Liu_2021	Liu_2021_aPD1_PRE	Bulk
30	0.72	0.75	0.875	aPD1	ON/POST	tgfb	Liu_2021	Liu_2021_aPD1_ON/POST	Bulk
31	0.54	0.333333333333333	1	aPD1	PRE	tgfb	Liu_2021	Liu_2021_aPD1_PRE	Bulk
32	0.69	0.75	0.875	aPD1	ON/POST	mean_score	Liu_2021	Liu_2021_aPD1_ON/POST	Bulk
33	0.83	1	0.625	aPD1	PRE	mean_score	Liu_2021	Liu_2021_aPD1_PRE	Bulk
34	0.7	1	0.6	aPD1	PRE	CD38	INSPIRE	INSPIRE_aPD1_PRE	Bulk
35	0.8	1	0.7	aPD1	PRE	CXCL9	INSPIRE	INSPIRE_aPD1_PRE	Bulk
36	0.95	1	0.9	aPD1	PRE	CD274	INSPIRE	INSPIRE_aPD1_PRE	Bulk
37	0.65	0.5	0.8	aPD1	PRE	MEX3B	INSPIRE	INSPIRE_aPD1_PRE	Bulk
38	0.7	1	0.7	aPD1	PRE	chemo_12	INSPIRE	INSPIRE_aPD1_PRE	Bulk
39	0.75	1	0.7	aPD1	PRE	POPLAR_teff	INSPIRE	INSPIRE_aPD1_PRE	Bulk
40	0.85	1	0.8	aPD1	PRE	proliferation	INSPIRE	INSPIRE_aPD1_PRE	Bulk
41	0.9	1	0.8	aPD1	PRE	teff_ifng	INSPIRE	INSPIRE_aPD1_PRE	Bulk
42	0.05	0	1	aPD1	PRE	stroma_emt	INSPIRE	INSPIRE_aPD1_PRE	Bulk
43	0	0	1	aPD1	PRE	tgfb	INSPIRE	INSPIRE_aPD1_PRE	Bulk
44	0.85	1	0.8	aPD1	PRE	mean_score	INSPIRE	INSPIRE_aPD1_PRE	Bulk
45	1	1	1	aPD1	PRE	CD38	Aoki_2021	Aoki_2021_aPD1_PRE	Bulk
46	1	1	1	aPD1	ON/POST	CD38	Aoki_2021	Aoki_2021_aPD1_ON/POST	Bulk
47	0.61	0.333333333333333	1	aPD1	PRE	CXCL9	Aoki_2021	Aoki_2021_aPD1_PRE	Bulk
48	1	1	1	aPD1	ON/POST	CXCL9	Aoki_2021	Aoki_2021_aPD1_ON/POST	Bulk
49	0.56	0.333333333333333	1	aPD1	PRE	CD274	Aoki_2021	Aoki_2021_aPD1_PRE	Bulk
50	0.83	0.666666666666667	1	aPD1	ON/POST	CD274	Aoki_2021	Aoki_2021_aPD1_ON/POST	Bulk
51	0.56	0.333333333333333	1	aPD1	PRE	MEX3B	Aoki_2021	Aoki_2021_aPD1_PRE	Bulk
52	0.83	0.666666666666667	1	aPD1	ON/POST	MEX3B	Aoki_2021	Aoki_2021_aPD1_ON/POST	Bulk
53	0.67	0.666666666666667	0.666666666666667	aPD1	PRE	chemo_12	Aoki_2021	Aoki_2021_aPD1_PRE	Bulk
54	1	1	1	aPD1	ON/POST	chemo_12	Aoki_2021	Aoki_2021_aPD1_ON/POST	Bulk
55	1	1	1	aPD1	PRE	POPLAR_teff	Aoki_2021	Aoki_2021_aPD1_PRE	Bulk
56	1	1	1	aPD1	ON/POST	POPLAR_teff	Aoki_2021	Aoki_2021_aPD1_ON/POST	Bulk
57	0.11	0	1	aPD1	PRE	proliferation	Aoki_2021	Aoki_2021_aPD1_PRE	Bulk
58	0	0	1	aPD1	ON/POST	proliferation	Aoki_2021	Aoki_2021_aPD1_ON/POST	Bulk
59	0.78	0.666666666666667	1	aPD1	PRE	teff_ifng	Aoki_2021	Aoki_2021_aPD1_PRE	Bulk
