Sample	Value	sample_number	timepoint	ear_tag	group	Response
1_D4_7201	343.559107601007	1	1	7201	Responder	Responders
10_D4_7228	405.929759704251	10	1	7228	Responder	Responders
100_D17_311	735.976271332158	100	3	311	Responder	Responders
101_D17_315	621.365982396288	101	3	315	Responder	Responders
102_D17_322	597.798545175307	102	3	322	Responder	Responders
103_D17_327	631.052485575358	103	3	327	Responder	Responders
104_D17_7203	681.413066896723	104	3	7203	Responder	Responders
105_D17_7220	686.61611408307	105	3	7220	NonResponder	Non-responders
106_D17_7222	652.409368187122	106	3	7222	NonResponder	Non-responders
107_D17_304	729.388118741883	107	3	304	NonResponder	Non-responders
108_D17_305	584.883646715357	108	3	305	NonResponder	Non-responders
109_D17_308	447.171367526087	109	3	308	NonResponder	Non-responders
11_D4_7229	611.931294623668	11	1	7229	Responder	Responders
110_D17_310	677.801074115935	110	3	310	NonResponder	Non-responders
111_D17_313	674.994821179661	111	3	313	NonResponder	Non-responders
112_D17_316	676.80613132093	112	3	316	NonResponder	Non-responders
113_D17_320	768.113510958013	113	3	320	NonResponder	Non-responders
114_D17_321	535.443112819978	114	3	321	NonResponder	Non-responders
115_D17_323	459.639696522172	115	3	323	NonResponder	Non-responders
116_D17_328	715.988324857985	116	3	328	NonResponder	Non-responders
117_D17_329	636.41500073207	117	3	329	NonResponder	Non-responders
118_D17_330	535.880307254684	118	3	330	NonResponder	Non-responders
119_D17_7218	582.287073331724	119	3	7218	StableDisease	Non-responders
12_D4_311	503.022319751117	12	1	311	Responder	Responders
120_D17_7223	778.764820542467	120	3	7223	StableDisease	Non-responders
121_D17_7224	672.587013842518	121	3	7224	StableDisease	Non-responders
122_D17_7225	596.924316469415	122	3	7225	StableDisease	Non-responders
123_D17_302	654.575289912023	123	3	302	StableDisease	Non-responders
124_D17_306	500.09005914883	124	3	306	StableDisease	Non-responders
125_D17_303	556.067962541876	125	3	303	StableDisease	Non-responders
126_D17_309	621.652351648209	126	3	309	StableDisease	Non-responders
127_D17_312	561.959297859587	127	3	312	StableDisease	Non-responders
128_D17_314	596.510572150233	128	3	314	StableDisease	Non-responders
129_D17_317	658.510325172272	129	3	317	StableDisease	Non-responders
13_D4_315	698.785665703015	13	1	315	Responder	Responders
130_D17_318	780.08515293532	130	3	318	StableDisease	Non-responders
131_D17_319	670.256859046905	131	3	319	StableDisease	Non-responders
132_D17_324	605.961144674018	132	3	324	StableDisease	Non-responders
133_D17_325	537.495729066795	133	3	325	StableDisease	Non-responders
134_D24_7201	753.54540857092	134	4	7201	Responder	Responders
135_D24_7202	338.743760380613	135	4	7202	Responder	Responders
136_D24_7205	571.449499223991	136	4	7205	Responder	Responders
137_D24_7206	528.082473595696	137	4	7206	Responder	Responders
138_D24_7208	362.237853793081	138	4	7208	Responder	Responders
139_D24_7210	605.263852653633	139	4	7210	Responder	Responders
14_D4_322	616.744169188976	14	1	322	Responder	Responders
140_D24_7221	364.154505511725	140	4	7221	Responder	Responders
