Sample	Value	sample_number	timepoint	ear_tag	group	Response
1_D4_7201	124.907473184456	1	1	7201	Responder	Responders
10_D4_7228	100.471449105504	10	1	7228	Responder	Responders
100_D17_311	162.356472689668	100	3	311	Responder	Responders
101_D17_315	164.27239270218	101	3	315	Responder	Responders
102_D17_322	121.671250615274	102	3	322	Responder	Responders
103_D17_327	105.271899787414	103	3	327	Responder	Responders
104_D17_7203	159.241223292836	104	3	7203	Responder	Responders
105_D17_7220	153.681907993214	105	3	7220	NonResponder	Non-responders
106_D17_7222	145.733069369655	106	3	7222	NonResponder	Non-responders
107_D17_304	129.274692874693	107	3	304	NonResponder	Non-responders
108_D17_305	143.402944657756	108	3	305	NonResponder	Non-responders
109_D17_308	34.8502741702742	109	3	308	NonResponder	Non-responders
11_D4_7229	97.143151419784	11	1	7229	Responder	Responders
110_D17_310	154.441188767727	110	3	310	NonResponder	Non-responders
111_D17_313	117.547578663708	111	3	313	NonResponder	Non-responders
112_D17_316	134.454234274283	112	3	316	NonResponder	Non-responders
113_D17_320	75.6335664335664	113	3	320	NonResponder	Non-responders
114_D17_321	143.131529430903	114	3	321	NonResponder	Non-responders
115_D17_323	104.017316519812	115	3	323	NonResponder	Non-responders
116_D17_328	133.853828223059	116	3	328	NonResponder	Non-responders
117_D17_329	50.9377720870679	117	3	329	NonResponder	Non-responders
118_D17_330	86.1458611675864	118	3	330	NonResponder	Non-responders
119_D17_7218	84.3267299864315	119	3	7218	StableDisease	Non-responders
12_D4_311	88.6108491208941	12	1	311	Responder	Responders
120_D17_7223	126.670684371808	120	3	7223	StableDisease	Non-responders
121_D17_7224	100.749771415724	121	3	7224	StableDisease	Non-responders
122_D17_7225	129.459067438586	122	3	7225	StableDisease	Non-responders
123_D17_302	154.898807116403	123	3	302	StableDisease	Non-responders
124_D17_306	0	124	3	306	StableDisease	Non-responders
125_D17_303	127.958733095698	125	3	303	StableDisease	Non-responders
126_D17_309	151.464817202083	126	3	309	StableDisease	Non-responders
127_D17_312	122.342098268304	127	3	312	StableDisease	Non-responders
128_D17_314	127.445879354291	128	3	314	StableDisease	Non-responders
129_D17_317	139.470022319198	129	3	317	StableDisease	Non-responders
13_D4_315	120.987507730365	13	1	315	Responder	Responders
130_D17_318	100.323622845556	130	3	318	StableDisease	Non-responders
131_D17_319	145.160263929619	131	3	319	StableDisease	Non-responders
132_D17_324	84.0711560044894	132	3	324	StableDisease	Non-responders
133_D17_325	110.428111755039	133	3	325	StableDisease	Non-responders
134_D24_7201	119.39221368535	134	4	7201	Responder	Responders
135_D24_7202	118.456879240163	135	4	7202	Responder	Responders
136_D24_7205	112.4775555249	136	4	7205	Responder	Responders
137_D24_7206	117.154066985646	137	4	7206	Responder	Responders
138_D24_7208	64.6758834790707	138	4	7208	Responder	Responders
139_D24_7210	97.2001079039655	139	4	7210	Responder	Responders
14_D4_322	122.000111544897	14	1	322	Responder	Responders
140_D24_7221	102.938796414853	140	4	7221	Responder	Responders
141_D24_7226	141.918900977319	141	4	7226	Responder	Responders
142_D24_7227	122.52987012987	142	4	7227	Responder	Responders
143_D24_7228	98.5943783544514	143	4	7228	Responder	Responders
144_D24_7229	137.614196762142	144	4	7229	Responder	Responders
145_D24_311	111.945186377045	145	4	311	Responder	Responders
146_D24_315	131.607683688778	146	4	315	Responder	Responders
147_D24_322	122.696685264194	147	4	322	Responder	Responders
148_D24_327	65.7812094015753	148	4	327	Responder	Responders
149_D24_7203	76.1404354779186	149	4	7203	NonResponder	Non-responders
15_D4_327	118.388659146601	15	1	327	Responder	Responders
150_D24_7220	132.632683982684	150	4	7220	NonResponder	Non-responders
151_D24_7222	165.727999177603	151	4	7222	NonResponder	Non-responders
152_D24_304	73.010363861665	152	4	304	NonResponder	Non-responders
153_D24_305	135.497476255088	153	4	305	NonResponder	Non-responders
154_D24_308	132.248473932408	154	4	308	NonResponder	Non-responders
155_D24_310	138.300010089799	155	4	310	NonResponder	Non-responders
156_D24_313	85.2409090909091	156	4	313	NonResponder	Non-responders
157_D24_316	150.363356467598	157	4	316	NonResponder	Non-responders
158_D24_320	87.5030914786571	158	4	320	NonResponder	Non-responders
159_D24_321	92.603250863061	159	4	321	NonResponder	Non-responders
16_D4_7203	96.0528898154023	16	1	7203	NonResponder	Non-responders
160_D24_323	117.851162790698	160	4	323	NonResponder	Non-responders
161_D24_328	110.641404140414	161	4	328	NonResponder	Non-responders
162_D24_329	107.531629193781	162	4	329	NonResponder	Non-responders
163_D24_330	102.532204925726	163	4	330	StableDisease	Non-responders
164_D24_7218	132.468401052324	164	4	7218	StableDisease	Non-responders
165_D24_7223	99.7346313951927	165	4	7223	StableDisease	Non-responders
166_D24_7224	181.990909090909	166	4	7224	StableDisease	Non-responders
167_D24_7225	69.7952261468185	167	4	7225	StableDisease	Non-responders
168_D24_302	32.6164286254062	168	4	302	StableDisease	Non-responders
169_D24_306	157.110056907848	169	4	306	StableDisease	Non-responders
17_D4_7220	119.866527741599	17	1	7220	NonResponder	Non-responders
170_D24_303	122.300733336065	170	4	303	StableDisease	Non-responders
171_D24_309	130.538629133327	171	4	309	StableDisease	Non-responders
172_D24_312	112.74014921249	172	4	312	StableDisease	Non-responders
173_D24_314	113.634104357181	173	4	314	StableDisease	Non-responders
174_D24_317	125.571675689129	174	4	317	StableDisease	Non-responders
175_D24_318	124.873200025554	175	4	318	StableDisease	Non-responders
176_D24_319	125.025687140542	176	4	319	StableDisease	Non-responders
177_D24_324	72.6563226247437	177	4	324	StableDisease	Non-responders
178_D24_325	102.379451221984	178	4	325	StableDisease	Non-responders
18_D4_7222	115.503437198844	18	1	7222	NonResponder	Non-responders
19_D4_304	90.040383890097	19	1	304	NonResponder	Non-responders
2_D4_7202	57.4694665957824	2	1	7202	Responder	Responders
20_D4_305	1.09048403777743	20	1	305	NonResponder	Non-responders
21_D4_308	62.0455538996523	21	1	308	NonResponder	Non-responders
22_D4_310	99.1562821725814	22	1	310	NonResponder	Non-responders
23_D4_313	64.7382775119617	23	1	313	NonResponder	Non-responders
24_D4_316	117.575953079179	24	1	316	NonResponder	Non-responders
25_D4_320	82.2069278391859	25	1	320	NonResponder	Non-responders
26_D4_321	83.1837076323859	26	1	321	NonResponder	Non-responders
27_D4_323	86.2191871319834	27	1	323	NonResponder	Non-responders
28_D4_328	114.379356211209	28	1	328	NonResponder	Non-responders
29_D4_329	115.818755455792	29	1	329	NonResponder	Non-responders
3_D4_7205	144.061979624386	3	1	7205	Responder	Responders
30_D4_7218	102.724242424242	30	1	7218	StableDisease	Non-responders
31_D4_7223	109.502540653311	31	1	7223	StableDisease	Non-responders
32_D4_7224	111.369682449797	32	1	7224	StableDisease	Non-responders
33_D4_7225	53.5934534239854	33	1	7225	StableDisease	Non-responders
34_D4_302	116.793664584456	34	1	302	StableDisease	Non-responders
35_D4_306	139.820455995823	35	1	306	StableDisease	Non-responders
36_D4_303	131.645288111196	36	1	303	StableDisease	Non-responders
37_D4_309	97.6628809366912	37	1	309	StableDisease	Non-responders
38_D4_312	78.6189360439518	38	1	312	StableDisease	Non-responders
39_D4_314	48.9090991498304	39	1	314	StableDisease	Non-responders
4_D4_7206	114.961497326203	4	1	7206	Responder	Responders
40_D4_317	61.0517139902967	40	1	317	StableDisease	Non-responders
41_D4_318	82.1634209392503	41	1	318	StableDisease	Non-responders
42_D4_319	110.655877552821	42	1	319	StableDisease	Non-responders
43_D4_324	122.291009416969	43	1	324	StableDisease	Non-responders
44_D4_325	105.505895466931	44	1	325	StableDisease	Non-responders
45_D9_7201	180.205194805195	45	2	7201	Responder	Responders
46_D9_7202	141.36975176722	46	2	7202	Responder	Responders
47_D9_7205	148.087475614514	47	2	7205	Responder	Responders
48_D9_7206	151.728118393235	48	2	7206	Responder	Responders
49_D9_7208	128.685105519481	49	2	7208	Responder	Responders
5_D4_7208	120.71401666063	5	1	7208	Responder	Responders
50_D9_7210	133.339648586707	50	2	7210	Responder	Responders
51_D9_7221	135.970293706294	51	2	7221	Responder	Responders
52_D9_7226	141.863322884013	52	2	7226	Responder	Responders
53_D9_7227	105.998567734235	53	2	7227	Responder	Responders
