cell_type	cell_number	Relative_frequency	timepoint
B cell	32649	0.351140030114003	2
Basophil	163	0.00175306517530652	2
CD4 T	12938	0.13914820391482	2
CD8 T	10624	0.114261131426113	2
Dendritic cell	505	0.00543127554312755	2
Erythroblast	3989	0.0429016992901699	2
Monocyte	8326	0.0895461389546139	2
Neutrophil	21567	0.231953108195311	2
NK cell	2219	0.0238653473865347	2
B cell	29537	0.423615294151393	3
Basophil	19	0.000272495195479448	3
CD4 T	10666	0.152970197630726	3
CD8 T	9355	0.134168029142644	3
Dendritic cell	524	0.00751513065427531	3
Erythroblast	562	0.0080601210452342	3
Monocyte	6526	0.0935949287209936	3
Neutrophil	9975	0.14305997762671	3
NK cell	2562	0.0367438258325445	3
B cell	23222	0.307079950279019	1
Basophil	102	0.00134881383724313	1
CD4 T	8664	0.11456983417524	1
CD8 T	7145	0.0944830869323742	1
Dendritic cell	436	0.00576551797096083	1
Erythroblast	133	0.00175874745444447	1
Monocyte	8757	0.115799635026844	1
Neutrophil	24997	0.330551955780064	1
NK cell	2166	0.02864245854381	1
B cell	27022	0.438754302786257	4
Basophil	19	0.000308501656166786	4
CD4 T	7992	0.129765538741313	4
CD8 T	7920	0.128596479833734	4
Dendritic cell	522	0.00847567707995064	4
Erythroblast	2399	0.0389523933233747	4
Monocyte	6350	0.103104500876794	4
Neutrophil	7115	0.115525751769825	4
NK cell	2249	0.0365168539325843	4
