Days	7218	7223	7224	7225	302	303	306	309	312	314	317	318	319	324	325	304	305	308	310	313	316	320	321	323	328	329	330	7203	7220	7222
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	13.5	25.992	28.8	22.68	4	4.41	2.7075	5.5545	4	1.6875	2.268	4	5.566	4	1.6875	4	1.6875	4	1.6875	1.6875	4.6305	1.6875	6.912	5.819	1.6875	1.6875	1.6875	19.44	32	32
6	83.1875	53.75	40.5	67.6	28	32	50	50	13.5	28	108	68.75	55.6875	32	13.5	32	21.4375	51.6215	52.5	24	56.25	32	108	62.5	67.6	50	54.0225	61.25	108	117
8	108	97.2	117	147.875	40.5	75	81.225	75.625	54.08	44.18	58.5385	63.2025	61.25	62.5	56.25	75.625	36.98	72.5	62.5	32	90	35.28	108	53.75	62.5	137.3125	92.51	105.875	143.65	126
10	138.72	117	81.12	75	62.5	90.75	74.36	87.025	46.389	44.4185	80	62.5	83.1875	62.5	35.28	75.625	58.5225	108	70.304	62.5	90	62.5	126	83.1875	62.5	134.75	75.625	159.25		
12	83.1875	75.625	134.75	78.65	93.6	75	67.6	105.625	62.5	44.4185	62.5	90.75	108	62.5	78.65	75.6	50	62.5	62.5	62.5	81	90.75	111.6	67.6	106.2	171.5	102.6895	58.87	108	99
14	126.75	62.5	99	40	62.5	62.5	67.6	93.6	35.28	36	84.27	52.5	99.2875	41.6	54.621	68.0625	75.6	78.65	108	48.6	69.62	75.625	126	50	108	168.75	108	95.4	120.6	147.875
18	75	50.625	68.0625	32	56.25	51.9115	55.223	87.025	75.625	34.4	68.0625	60.5	96.1	70.304	32	97.2	70.304	126	108	108	67.6	108	126	50	81.25	104.3625	108	75	159.25	144
20	75	62.5	75.625	62.5	56.25	48.384	58.8245	62.5	50	62.5	90.75	39.4875	108	46.225	40	67.6	126.75	182.8125	108	101.2095	95.4	90.75	124.2	62.5	91.8	137.3125	169.05	108	147	135
22	62.5	108	90	45.5625	60	62.5	90	91.8	52.5	56.784	111.6	61.25	147.456	49.6125	104.43	71.442	132.3	186.515	68.952	108	164.28	117	196	90	156.271	196	164.15	126	147.875	126
24	35.28	159.528	98.6065	38.808	62.5	27.2	126.75	81.225	62.5	92.51	90	51.84	49.536	60	78.65	102.6895	234.8125	240	108	188.4375	125.0235	83.1875	154.7325	142.83	205.3125	222.1875	249.6	233.6	240	115.2
26	45.5625	210.9375	147	45.5625	62.5	40	106.496	93.025	33.62	90	126.75	46.389	117	62.5	75.625	118.9585	216.75	240	108	135	166.6	166.635	153.76	171.5	173.4	218.05	262.44	239.0625	288	183.75
29	113.4	364.5	192	62.5	107.909	65.025	159.87	108	102.4	112.225	198.4	106.496	224	108	154.7325	187.23	374.556	361	171.5	178.85	251.4485	256	253.125	217.6	225	356.445	396.9	364.5	320	225
