mean_clone_size	sample_id	sample_name	timepoint	group
1.03031634446397	SCAF3045_21_7252_2	7252	2	responder
1.02758132956153	SCAF3046_31_7264_2	7264	2	responder
1.01675485008818	SCAF3047_39_7255_3	7255	3	stable/escape
1.00705882352941	SCAF3048_16_7265_1	7265	1	responder
1.02222222222222	SCAF3403_10_7258_T1	7258	1	responder
1.10869565217391	SCAF3404_11_7259_T1	7259	1	stable/escape
1.08196721311475	SCAF3405_19_7249_T2	7249	2	non-responder
1.171875	SCAF3406_22_7254_T2	7254	2	stable/escape
1.02941176470588	SCAF3461_64_7265_T4_2	7265	4	responder
1.01065719360568	SCAF3462_44_7261_T3_2	7261	3	non-responder
1	SCAF3463_52_7251_T4_2	7251	4	responder
1.025	SCAF3464_38_7254_T3_2	7254	3	stable/escape
1.03174603174603	SCAF3466_48_7265_T3	7265	3	responder
1.01081916537867	SCAF3467_15_7264_T1	7264	1	responder
1.04638218923933	SCAF3468_24_7256_T2	7256	2	non-responder
1.08070175438596	SCAF3469_20_7251_T2	7251	2	responder
1.01315789473684	SCAF3470_60_7261_T4	7261	4	non-responder
1.01242236024845	SCAF3471_57_7257_T4	7257	4	non-responder
1.02901023890785	SCAF3472_42_7258_T3	7258	3	responder
1.05194805194805	SCAF3473_7_7255_T1	7255	1	stable/escape
1.04290429042904	SCAF3474_63_7264_T4	7264	4	responder
1.03740648379052	SCAF3475_43_7259_T3	7259	3	stable/escape
1.01758241758242	SCAF3476_47_7264_T3	7264	3	responder
1.01985981308411	SCAF3477_23_7255_T2	7255	2	stable/escape
1.03840877914952	SCAF3478_28_7261_T2	7261	2	non-responder
1.03473491773309	SCAF3479_14_7263_T1	7263	1	stable/escape
1.02229845626072	SCAF3480_12_7261_T1	7261	1	non-responder
1.0169014084507	SCAF3507_61_7262_T4	7262	4	non-responder
1.01150627615063	SCAF3508_50_7248_T4	7248	4	responder
1.01279157261099	SCAF3509_8_7256_T1	7256	1	non-responder
1.0076726342711	SCAF3510_3_7249_T1	7249	1	non-responder
1.00625	SCAF3511_55_7255_T4	7255	4	stable/escape
1.01317715959004	SCAF3512_13_7262_T1	7262	1	non-responder
1.0244590780809	SCAF3513_18_7248_T2	7248	2	responder
1.01278409090909	SCAF3514_25_7257_T2	7257	2	non-responder
1.01769911504425	SCAF3515_41_7257_T3	7257	3	non-responder
1.01646706586826	SCAF3516_40_7256_T3	7256	3	non-responder
1.05158264947245	SCAF3517_32_7265_T2	7265	2	responder
1.01063829787234	SCAF3518_59_7259_T4	7259	4	stable/escape
1.01179341195608	SCAF3519_29_7262_T2	7262	2	non-responder
1.02403846153846	SCAF3520_35_7249_T3	7249	3	non-responder
1.0054347826087	SCAF3521_6_7254_T1	7254	1	stable/escape
1.0578231292517	SCAF3522_54_7254_T4	7254	4	stable/escape
1.01185185185185	SCAF3551_30_7263_T2	7263	2	stable/escape
1.00588235294118	SCAF3552_5_7252_T1	7252	1	responder
1.02972651605232	SCAF3553_27_7259_T2	7259	2	stable/escape
1	SCAF3554_45_7262_T3	7262	3	non-responder
1.00413223140496	SCAF3555_56_7256_T4	7256	4	non-responder
1.01832460732984	SCAF3556_9_7257_T1	7257	1	non-responder
1.00393700787402	SCAF3557_46_7263_T3	7263	3	stable/escape
1.00718685831622	SCAF3558_2_7248_T1	7248	1	responder
1.01502145922747	SCAF3559_51_7249_T4	7249	4	non-responder
1	SCAF3560_53_7252_T4	7252	4	responder
1.015625	SCAF3561_49_7246_T4	7246	4	responder
1.00869565217391	SCAF3562_58_7258_T4	7258	4	responder
1.015625	SCAF3563_1_7246_T1	7246	1	responder
1.02063789868668	SCAF3564_36_7251_T3	7251	3	responder
1.02702702702703	SCAF3565_26_7258_T2	7258	2	responder
1.00769230769231	SCAF3566_37_7252_T3	7252	3	responder
1.01095890410959	SCAF3567_34_72248_T3	7248	3	responder
1.00405268490375	SCAF3568_4_7251_T1	7251	1	responder
1.01504424778761	SCAF3569_33_7246_T3	7246	3	responder
1.01835594573025	SCAF3570_17_7246_T2	7246	2	responder
