cell_type	cell_number	Relative_frequency	sample_id	timepoint	Patient	Response
B cell	5353	0.462462203023758	SCAF3045	2	7252	Responders
Basophil	1	8.63930885529158e-05	SCAF3045	2	7252	Responders
CD4 T	347	0.0299784017278618	SCAF3045	2	7252	Responders
Cd74 CD4	47	0.00406047516198704	SCAF3045	2	7252	Responders
CD8 T	202	0.017451403887689	SCAF3045	2	7252	Responders
Dendritic cell	83	0.00717062634989201	SCAF3045	2	7252	Responders
Effector memory CD8	109	0.00941684665226782	SCAF3045	2	7252	Responders
Erythroblast	362	0.0312742980561555	SCAF3045	2	7252	Responders
Hbb-bs CD8	21	0.00181425485961123	SCAF3045	2	7252	Responders
Monocyte	866	0.0748164146868251	SCAF3045	2	7252	Responders
Naive CD4	887	0.0766306695464363	SCAF3045	2	7252	Responders
Naive CD8	830	0.0717062634989201	SCAF3045	2	7252	Responders
Neutrophil	1924	0.16622030237581	SCAF3045	2	7252	Responders
NK cell	229	0.0197840172786177	SCAF3045	2	7252	Responders
S100a9 CD4	31	0.00267818574514039	SCAF3045	2	7252	Responders
S100a9 CD8	37	0.00319654427645788	SCAF3045	2	7252	Responders
Th1	168	0.0145140388768898	SCAF3045	2	7252	Responders
Treg	78	0.00673866090712743	SCAF3045	2	7252	Responders
B cell	1817	0.310439091064411	SCAF3046	2	7264	Responders
CD4 T	310	0.0529642918161627	SCAF3046	2	7264	Responders
Cd74 CD4	12	0.00205023065094823	SCAF3046	2	7264	Responders
CD8 T	88	0.0150350247736204	SCAF3046	2	7264	Responders
Dendritic cell	14	0.0023919357594396	SCAF3046	2	7264	Responders
Effector memory CD8	49	0.00837177515803861	SCAF3046	2	7264	Responders
Erythroblast	491	0.0838886041346318	SCAF3046	2	7264	Responders
Hbb-bs CD8	16	0.00273364086793098	SCAF3046	2	7264	Responders
Monocyte	243	0.0415171706817017	SCAF3046	2	7264	Responders
Naive CD4	607	0.103707500427131	SCAF3046	2	7264	Responders
Naive CD8	508	0.0867930975568085	SCAF3046	2	7264	Responders
Neutrophil	1434	0.245002562788314	SCAF3046	2	7264	Responders
NK cell	147	0.0251153254741158	SCAF3046	2	7264	Responders
S100a9 CD4	14	0.0023919357594396	SCAF3046	2	7264	Responders
S100a9 CD8	15	0.00256278831368529	SCAF3046	2	7264	Responders
Th1	56	0.00956774303775841	SCAF3046	2	7264	Responders
Treg	32	0.00546728173586195	SCAF3046	2	7264	Responders
B cell	2023	0.424554039874082	SCAF3047	3	7255	Non-responders
Basophil	1	0.000209863588667366	SCAF3047	3	7255	Non-responders
CD4 T	127	0.0266526757607555	SCAF3047	3	7255	Non-responders
Cd74 CD4	5	0.00104931794333683	SCAF3047	3	7255	Non-responders
CD8 T	78	0.0163693599160546	SCAF3047	3	7255	Non-responders
Dendritic cell	33	0.00692549842602309	SCAF3047	3	7255	Non-responders
Effector memory CD8	28	0.00587618048268625	SCAF3047	3	7255	Non-responders
Erythroblast	5	0.00104931794333683	SCAF3047	3	7255	Non-responders
Monocyte	385	0.080797481636936	SCAF3047	3	7255	Non-responders
Naive CD4	614	0.128856243441763	SCAF3047	3	7255	Non-responders
Naive CD8	468	0.0982161594963274	SCAF3047	3	7255	Non-responders
Neutrophil	701	0.147114375655824	SCAF3047	3	7255	Non-responders
NK cell	129	0.0270724029380902	SCAF3047	3	7255	Non-responders
S100a9 CD4	5	0.00104931794333683	SCAF3047	3	7255	Non-responders
S100a9 CD8	6	0.0012591815320042	SCAF3047	3	7255	Non-responders
Th1	104	0.0218258132214061	SCAF3047	3	7255	Non-responders
Treg	53	0.0111227701993704	SCAF3047	3	7255	Non-responders
B cell	1824	0.314320179217646	SCAF3048	1	7265	Responders
Basophil	6	0.00103394795795278	SCAF3048	1	7265	Responders
CD4 T	125	0.0215405824573496	SCAF3048	1	7265	Responders
Cd74 CD4	8	0.00137859727727038	SCAF3048	1	7265	Responders
CD8 T	72	0.0124073754954334	SCAF3048	1	7265	Responders
Dendritic cell	45	0.00775460968464587	SCAF3048	1	7265	Responders
Effector memory CD8	28	0.00482509047044632	SCAF3048	1	7265	Responders
Erythroblast	4	0.000689298638635189	SCAF3048	1	7265	Responders
Monocyte	705	0.121488885059452	SCAF3048	1	7265	Responders
Naive CD4	377	0.0649663966913665	SCAF3048	1	7265	Responders
Naive CD8	307	0.0529036705152507	SCAF3048	1	7265	Responders
Neutrophil	1979	0.34103050146476	SCAF3048	1	7265	Responders
NK cell	168	0.0289505428226779	SCAF3048	1	7265	Responders
S100a9 CD4	16	0.00275719455454075	SCAF3048	1	7265	Responders
S100a9 CD8	11	0.00189557125624677	SCAF3048	1	7265	Responders
Th1	95	0.0163708426675857	SCAF3048	1	7265	Responders
Treg	33	0.00568671376874031	SCAF3048	1	7265	Responders
B cell	442	0.232264844981608	SCAF3403	1	7258	Responders
Basophil	9	0.0047293746715712	SCAF3403	1	7258	Responders
CD4 T	9	0.0047293746715712	SCAF3403	1	7258	Responders
CD8 T	25	0.0131371518654756	SCAF3403	1	7258	Responders
Dendritic cell	3	0.00157645822385707	SCAF3403	1	7258	Responders
Effector memory CD8	5	0.00262743037309511	SCAF3403	1	7258	Responders
Monocyte	402	0.211245401996847	SCAF3403	1	7258	Responders
Naive CD4	13	0.00683131897004729	SCAF3403	1	7258	Responders
Naive CD8	13	0.00683131897004729	SCAF3403	1	7258	Responders
Neutrophil	819	0.430373095112979	SCAF3403	1	7258	Responders
NK cell	121	0.0635838150289017	SCAF3403	1	7258	Responders
S100a9 CD8	1	0.000525486074619023	SCAF3403	1	7258	Responders
Th1	32	0.0168155543878087	SCAF3403	1	7258	Responders
Treg	9	0.0047293746715712	SCAF3403	1	7258	Responders
B cell	246	0.125638406537283	SCAF3404	1	7259	Non-responders
Basophil	4	0.00204290091930541	SCAF3404	1	7259	Non-responders
CD4 T	19	0.00970377936670072	SCAF3404	1	7259	Non-responders
Cd74 CD4	1	0.000510725229826353	SCAF3404	1	7259	Non-responders
CD8 T	43	0.0219611848825332	SCAF3404	1	7259	Non-responders
Dendritic cell	7	0.00357507660878447	SCAF3404	1	7259	Non-responders
Effector memory CD8	7	0.00357507660878447	SCAF3404	1	7259	Non-responders
Erythroblast	1	0.000510725229826353	SCAF3404	1	7259	Non-responders
Monocyte	489	0.249744637385087	SCAF3404	1	7259	Non-responders
Naive CD4	31	0.015832482124617	SCAF3404	1	7259	Non-responders
Naive CD8	28	0.0143003064351379	SCAF3404	1	7259	Non-responders
Neutrophil	931	0.475485188968335	SCAF3404	1	7259	Non-responders
NK cell	124	0.0633299284984678	SCAF3404	1	7259	Non-responders
S100a9 CD4	1	0.000510725229826353	SCAF3404	1	7259	Non-responders
S100a9 CD8	1	0.000510725229826353	SCAF3404	1	7259	Non-responders
Th1	16	0.00817160367722165	SCAF3404	1	7259	Non-responders
Treg	9	0.00459652706843718	SCAF3404	1	7259	Non-responders
B cell	584	0.139412747672476	SCAF3405	2	7249	Non-responders
Basophil	69	0.0164717116256863	SCAF3405	2	7249	Non-responders
CD4 T	67	0.0159942707089998	SCAF3405	2	7249	Non-responders
Cd74 CD4	1	0.00023872045834328	SCAF3405	2	7249	Non-responders
CD8 T	50	0.011936022917164	SCAF3405	2	7249	Non-responders
Dendritic cell	24	0.00572929100023872	SCAF3405	2	7249	Non-responders
Effector memory CD8	12	0.00286464550011936	SCAF3405	2	7249	Non-responders
Erythroblast	8	0.00190976366674624	SCAF3405	2	7249	Non-responders
Monocyte	729	0.174027214132251	SCAF3405	2	7249	Non-responders
Naive CD4	82	0.019575077584149	SCAF3405	2	7249	Non-responders
Naive CD8	54	0.0128909047505371	SCAF3405	2	7249	Non-responders
Neutrophil	2419	0.577464788732394	SCAF3405	2	7249	Non-responders
NK cell	52	0.0124134638338506	SCAF3405	2	7249	Non-responders
S100a9 CD4	2	0.00047744091668656	SCAF3405	2	7249	Non-responders
S100a9 CD8	2	0.00047744091668656	SCAF3405	2	7249	Non-responders
Th1	20	0.0047744091668656	SCAF3405	2	7249	Non-responders
Treg	14	0.00334208641680592	SCAF3405	2	7249	Non-responders
B cell	467	0.123577666049219	SCAF3406	2	7254	Non-responders
Basophil	41	0.0108494310664197	SCAF3406	2	7254	Non-responders
CD4 T	28	0.00740936755755491	SCAF3406	2	7254	Non-responders
CD8 T	30	0.00793860809738026	SCAF3406	2	7254	Non-responders
Dendritic cell	14	0.00370468377877745	SCAF3406	2	7254	Non-responders
Effector memory CD8	31	0.00820322836729293	SCAF3406	2	7254	Non-responders
Erythroblast	13	0.00344006350886478	SCAF3406	2	7254	Non-responders
