"ID" "Description" "GeneRatio" "BgRatio" "RichFactor" "FoldEnrichment" "zScore" "pvalue" "p.adjust" "qvalue" "geneID" "Count" "category" "subcategory" "ONTOLOGY"
"GO:0030168" "GO:0030168" "platelet activation" "29/1554" "87/13317" 0.333333333333333 2.85649935649936 6.31433848987514 7.86284878026744e-08 0.000401555687208258 0.000401555687208258 "Alox12/Cd9/F2rl3/Fermt3/Gata1/Gp1ba/Gp1bb/Gp5/Gp6/Gp9/Itgb3/Mfsd2b/Mmrn1/P2rx1/P2ry1/P2ry12/Pdgfa/Pf4/Plek/Prkca/Prkg1/Selp/Serpine2/Slc6a4/Treml1/Tspan9/Tubb1/Ubash3b/Vwf" 29 "" "" "BP"
"GO:0050817" "GO:0050817" "coagulation" "39/1554" "151/13317" 0.258278145695364 2.21331407092996 5.44989499202909 1.08122920228193e-06 0.00276091876802692 0.00276091876802692 "Alox12/Angpt1/Cd9/F2rl2/F2rl3/F5/Fbln1/Fermt3/Gas6/Gata1/Gp1ba/Gp1bb/Gp5/Gp6/Gp9/Hpse/Itgb3/Mfsd2b/Mmrn1/Mpig6b/P2rx1/P2ry1/P2ry12/Pdgfa/Pf4/Plek/Prkca/Prkg1/Pros1/Selp/Serpine2/Slc6a4/Tfpi/Thbs1/Treml1/Tspan9/Tubb1/Ubash3b/Vwf" 39 "" "" "BP"
"GO:0007596" "GO:0007596" "blood coagulation" "38/1554" "148/13317" 0.256756756756757 2.20027653135761 5.3369007383284 1.72997754750953e-06 0.00294499844504373 0.00294499844504373 "Alox12/Cd9/F2rl2/F2rl3/F5/Fbln1/Fermt3/Gas6/Gata1/Gp1ba/Gp1bb/Gp5/Gp6/Gp9/Hpse/Itgb3/Mfsd2b/Mmrn1/Mpig6b/P2rx1/P2ry1/P2ry12/Pdgfa/Pf4/Plek/Prkca/Prkg1/Pros1/Selp/Serpine2/Slc6a4/Tfpi/Thbs1/Treml1/Tspan9/Tubb1/Ubash3b/Vwf" 38 "" "" "BP"
"GO:0007599" "GO:0007599" "hemostasis" "38/1554" "151/13317" 0.251655629139073 2.15656242808561 5.19498119721104 2.9237554124264e-06 0.00373290472281541 0.00373290472281541 "Alox12/Cd9/F2rl2/F2rl3/F5/Fbln1/Fermt3/Gas6/Gata1/Gp1ba/Gp1bb/Gp5/Gp6/Gp9/Hpse/Itgb3/Mfsd2b/Mmrn1/Mpig6b/P2rx1/P2ry1/P2ry12/Pdgfa/Pf4/Plek/Prkca/Prkg1/Pros1/Selp/Serpine2/Slc6a4/Tfpi/Thbs1/Treml1/Tspan9/Tubb1/Ubash3b/Vwf" 38 "" "" "BP"
"GO:0070527" "GO:0070527" "platelet aggregation" "18/1554" "53/13317" 0.339622641509434 2.91039557077293 5.06497531046879 1.6901110575909e-05 0.0172627943422335 0.0172627943422335 "Alox12/Cd9/F2rl3/Fermt3/Gata1/Gp6/Itgb3/Mfsd2b/Mmrn1/P2ry12/Plek/Prkca/Prkg1/Serpine2/Slc6a4/Tspan9/Tubb1/Ubash3b" 18 "" "" "BP"
"GO:0010543" "GO:0010543" "regulation of platelet activation" "15/1554" "42/13317" 0.357142857142857 3.06053502482074 4.86116915223418 4.32689656528676e-05 0.0368291012648658 0.0368291012648658 "Alox12/Cd9/Gp1ba/Gp1bb/Gp5/Gp9/Mfsd2b/Mmrn1/Pdgfa/Plek/Prkca/Prkg1/Selp/Serpine2/Ubash3b" 15 "" "" "BP"
"GO:0050878" "GO:0050878" "regulation of body fluid levels" "50/1554" "247/13317" 0.202429149797571 1.73471620840042 4.23627022834358 6.32750899239012e-05 0.0461636977487662 0.0461636977487662 "Ada/Alox12/Aqp1/Cd9/Celsr2/F2rl2/F2rl3/F5/Fbln1/Fermt3/Gas6/Gata1/Gp1ba/Gp1bb/Gp5/Gp6/Gp9/Hpse/Hyal2/Itgb3/Kalrn/Med1/Mfsd2b/Mmrn1/Mpig6b/Neurl1a/Nlrp6/P2rx1/P2ry1/P2ry12/Pdgfa/Pf4/Plek/Prickle1/Prkca/Prkg1/Pros1/Ptger3/Selp/Serpine2/Slc29a1/Slc6a4/Tfpi/Thbs1/Treml1/Trpc1/Tspan9/Tubb1/Ubash3b/Vwf" 50 "" "" "BP"
"GO:0141086" "GO:0141086" "negative regulation of inflammasome-mediated signaling pathway" "11/1554" "26/13317" 0.423076923076923 3.62555687555688 4.87060182868564 7.65925268956831e-05 0.0488947543570317 0.0488947543570317 "Abhd17a/Cptp/Hspa8/Ifi203/Ifi206/Ifi213/Ifi214/Igtp/Mndal/Ogt/Sirt2" 11 "" "" "BP"
"GO:0010544" "GO:0010544" "negative regulation of platelet activation" "7/1554" "13/13317" 0.538461538461538 4.61434511434511 4.73874706727936 0.000263316149421684 0.149417286121838 0.149417286121838 "Alox12/Cd9/Gp5/Pdgfa/Prkg1/Serpine2/Ubash3b" 7 "" "" "BP"
"GO:0030195" "GO:0030195" "negative regulation of blood coagulation" "11/1554" "30/13317" 0.366666666666667 3.14214929214929 4.26923682181356 0.000347839980097114 0.171679179822438 0.171679179822438 "Alox12/Cd9/Gp1ba/Gp5/Pdgfa/Prkg1/Pros1/Serpine2/Tfpi/Thbs1/Ubash3b" 11 "" "" "BP"
"GO:0034109" "GO:0034109" "homotypic cell-cell adhesion" "19/1554" "71/13317" 0.267605633802817 2.29324596226005 3.97119563181202 0.00036978088467727 0.171679179822438 0.171679179822438 "Alox12/Cd9/F2rl3/Fermt3/Gata1/Gp6/Itgb3/Mfsd2b/Mmrn1/P2ry12/Plek/Plpp3/Prkca/Prkg1/Serpine2/Slc6a4/Tspan9/Tubb1/Ubash3b" 19 "" "" "BP"
"GO:0050819" "GO:0050819" "negative regulation of coagulation" "11/1554" "31/13317" 0.354838709677419 3.04078963756383 4.13461727873691 0.000482813647489482 0.189671484440676 0.189671484440676 "Alox12/Cd9/Gp1ba/Gp5/Pdgfa/Prkg1/Pros1/Serpine2/Tfpi/Thbs1/Ubash3b" 11 "" "" "BP"
"GO:1900047" "GO:1900047" "negative regulation of hemostasis" "11/1554" "31/13317" 0.354838709677419 3.04078963756383 4.13461727873691 0.000482813647489482 0.189671484440676 0.189671484440676 "Alox12/Cd9/Gp1ba/Gp5/Pdgfa/Prkg1/Pros1/Serpine2/Tfpi/Thbs1/Ubash3b" 11 "" "" "BP"
"GO:0097120" "GO:0097120" "receptor localization to synapse" "18/1554" "68/13317" 0.264705882352941 2.26839654780831 3.81128398183953 0.000602760384051537 0.219878377239372 0.219878377239372 "Cnih3/Dlg2/Dlg4/Git1/Gpc4/Itgb1/Itgb3/Kalrn/Kif5a/Nbea/Neto2/Nptn/Ogt/Rab11a/Rab8a/Snap23/Stx7/Vamp2" 18 "" "" "BP"
"GO:0072378" "GO:0072378" "blood coagulation, fibrin clot formation" "6/1554" "11/13317" 0.545454545454545 4.67427167427167 4.43095357450309 0.000685936405299109 0.233538481457503 0.233538481457503 "Fbln1/Gp1ba/Gp1bb/Gp5/Gp9/Itgb3" 6 "" "" "BP"
"GO:0031638" "GO:0031638" "zymogen activation" "15/1554" "54/13317" 0.277777777777778 2.38041613041613 3.69436135397641 0.000980987546643191 0.313118962544174 0.313118962544174 "Clec3b/Ctsz/Dhcr24/Eno1b/Ggt1/Ifi203/Ifi206/Ifi213/Ifi214/Mndal/Nlrp6/S100a10/Serpine2/Tbc1d10a/Thbs1" 15 "" "" "BP"
"GO:0006457" "GO:0006457" "protein folding" "33/1554" "163/13317" 0.202453987730061 1.73492905701495 3.43133921720162 0.00104752543788754 0.314688965370097 0.314688965370097 "Ahsa1/Ahsa2/Aip/B2m/Cct6a/Cct7/Chchd4/Chordc1/Clu/Dnaja1/Dnajb1/Dnajb4/Dnajc7/Fkbp5/Fkbp8/Hsp90aa1/Hsp90ab1/Hspa4l/Hspa8/Hspd1/Pdcd5/Pfdn1/Ppid/Ppif/Ppil1/Ppil2/Ppil3/Ppwd1/Ptges3/Ptges3-ps/Qsox1/Ric8a/Sdf2" 33 "" "" "BP"
"GO:0098880" "GO:0098880" "maintenance of postsynaptic specialization structure" "7/1554" "16/13317" 0.4375 3.74915540540541 3.9991757203537 0.00127805703774236 0.35817941037877 0.35817941037877 "Dlg2/Hspa8/Itgb1/Itgb3/Ophn1/Prickle1/Shank3" 7 "" "" "BP"
"GO:0150115" "GO:0150115" "cell-substrate junction organization" "21/1554" "90/13317" 0.233333333333333 1.99954954954955 3.4581852786844 0.00133256487119574 0.35817941037877 0.35817941037877 "Actg1/Apod/Arhgap6/Bcr/Dusp3/Gpm6b/Itga2/Itgb3/Kdr/Lamtor2/Lims1/Mapre2/Prickle1/Ptpn11/Rac1/S100a10/Taok2/Tln1/Vcl/Wdpcp/Whamm" 21 "" "" "BP"
"GO:0050909" "GO:0050909" "sensory perception of taste" "7/1554" "17/13317" 0.411764705882353 3.52861685214626 3.79170918124838 0.0019554668783379 0.480770306623928 0.480770306623928 "Ffar4/Gnb1/P2rx3/Pkd1l3/Reep2/Tas1r3/Wnt10b" 7 "" "" "BP"
"GO:0050818" "GO:0050818" "regulation of coagulation" "14/1554" "52/13317" 0.269230769230769 2.30717255717256 3.43268789327257 0.00198613532967681 0.480770306623928 0.480770306623928 "Alox12/Angpt1/Cd9/Gp1ba/Gp5/Hpse/Pdgfa/Prkg1/Pros1/Serpine2/Tfpi/Thbs1/Ubash3b/Vwf" 14 "" "" "BP"
"GO:0010572" "GO:0010572" "positive regulation of platelet activation" "6/1554" "13/13317" 0.461538461538462 3.95515295515296 3.87448402312582 0.00207106848359632 0.480770306623928 0.480770306623928 "Gp1ba/Gp1bb/Gp5/Gp9/Plek/Selp" 6 "" "" "BP"
"GO:0030193" "GO:0030193" "regulation of blood coagulation" "13/1554" "48/13317" 0.270833333333333 2.32090572715573 3.33216652235558 0.00268241831152733 0.547964412678803 0.547964412678803 "Alox12/Cd9/Gp1ba/Gp5/Hpse/Pdgfa/Prkg1/Pros1/Serpine2/Tfpi/Thbs1/Ubash3b/Vwf" 13 "" "" "BP"
