"ID" "Description" "GeneRatio" "BgRatio" "RichFactor" "FoldEnrichment" "zScore" "pvalue" "p.adjust" "qvalue" "geneID" "Count" "category" "subcategory" "ONTOLOGY"
"GO:0019083" "GO:0019083" "viral transcription" "23/2454" "49/12912" 0.469387755102041 2.46973703906991 4.99297561748596 8.01884431708196e-06 0.0430852505156814 0.0427362197656694 "Ccnt2/Cdk9/Chd1/Dhx9/Ep300/Inpp5k/Map3k1/Mdfic/Mon1b/Notch1/Pfn1/Rest/Smarca4/Snw1/Sp100/Taf11/Tfap4/Trim13/Trim21/Trim27/Ubp1/Usf1/Zfp36" 23 "" "" "BP"
"GO:0019080" "GO:0019080" "viral gene expression" "29/2454" "71/12912" 0.408450704225352 2.14910981783119 4.70309972425412 1.6598870568644e-05 0.0445928657826622 0.0442316219416025 "Atg12/Ccnt2/Cdk9/Chd1/Csde1/Dhx9/Eif2ak4/Eif3b/Ep300/Inpp5k/Map3k1/Mdfic/Mon1b/Notch1/Pcbp2/Pfn1/Rest/Smarca4/Snw1/Sp100/Spcs3/Taf11/Tfap4/Trim13/Trim21/Trim27/Ubp1/Usf1/Zfp36" 29 "" "" "BP"
"GO:0032784" "GO:0032784" "regulation of DNA-templated transcription elongation" "30/2454" "79/12912" 0.379746835443038 1.99808114883476 4.31030698777648 6.23477830482677e-05 0.111664879439448 0.11076028967487 "Axin1/Ccnt2/Cdk12/Cdk13/Cdk9/Ctnnb1/Ell3/Hnrnpu/Ikzf1/Kat7/Map2k1/Med11/Med14/Med15/Med16/Med17/Med23/Med25/Med30/Med4/Nelfa/Nelfcd/Nelfe/Pwwp2a/Scaf8/Setd5/Supt6/Wdr43/Zc3h4/Zfp326" 30 "" "" "BP"
"GO:0040029" "GO:0040029" "epigenetic regulation of gene expression" "64/2454" "218/12912" 0.293577981651376 1.54469392790651 3.92893129805512 0.000130439326417433 0.124533827063684 0.123524986809963 "Alkbh4/Atad2b/Atrx/Axin1/Baz1a/Baz2a/Bcl6/Brca1/Cbx3/Cdk2/Ddb1/Dnmt3a/Dnmt3b/Dot1l/Dubr/Dyrk1a/Ep300/Ezh1/Ftx/Glyr1/Gsk3a/H3f3b/Hdac11/Hnrnpu/Kat7/Kcnq1ot1/Kdm5a/Kmt2a/Kmt2e/L3mbtl3/Lbr/Lcor/Lrif1/Mettl4/Morc2a/Mta1/Mtf2/N6amt1/Ncor2/Nrde2/Pik3ca/Rb1/Rbbp5/Rbm15b/Rif1/Rlf/Rlim/Rsl1/Setd1a/Sirt5/Smarca4/Smarcad1/Sphk2/Spty2d1/Tet2/Tet3/Tpr/Trim27/Trip12/Ubr5/Xist/Ythdc1/Zfp335/Znfx1" 64 "" "" "BP"
"GO:0031507" "GO:0031507" "heterochromatin formation" "37/2454" "109/12912" 0.339449541284404 1.7860523541419 3.99210311007236 0.000150665588388171 0.124533827063684 0.123524986809963 "Atrx/Baz1a/Baz2a/Bcl6/Brca1/Cbx3/Cdk2/Dnmt3a/Dnmt3b/Dot1l/Dyrk1a/Ezh1/Ftx/H3f3b/Hnrnpu/Kdm5a/Kmt2a/L3mbtl3/Lbr/Lrif1/Morc2a/Ncor2/Nrde2/Rb1/Rbm15b/Rif1/Rlf/Rlim/Smarca4/Smarcad1/Spty2d1/Tpr/Trip12/Ubr5/Xist/Ythdc1/Znfx1" 37 "" "" "BP"
"GO:0046831" "GO:0046831" "regulation of RNA export from nucleus" "10/2454" "16/12912" 0.625 3.28850855745721 4.43688243052381 0.000156945542458746 0.124533827063684 0.123524986809963 "Dhx9/Iws1/Khdrbs1/Nrde2/Nsun2/Setd2/Supt6/Thoc2/Tpr/Wnk1" 10 "" "" "BP"
"GO:0060976" "GO:0060976" "coronary vasculature development" "20/2454" "47/12912" 0.425531914893617 2.2389845497581 4.12195100627317 0.000170891777494064 0.124533827063684 0.123524986809963 "Ace/Apln/Ctnnb1/Dync2h1/Fgfr1/Ndst1/Notch1/Pbrm1/Plxnd1/Prdm1/Prokr1/Setd2/Smarca4/Snx17/Srf/Tab1/Tgfbr1/Tgfbr3/Vangl2/Zbtb14" 20 "" "" "BP"
"GO:0110053" "GO:0110053" "regulation of actin filament organization" "62/2454" "212/12912" 0.292452830188679 1.53877381556488 3.83147019762357 0.000185421666947603 0.124533827063684 0.123524986809963 "Abl1/Actr3/Add3/Alox15/Arap1/Arf6/Arfgef1/Arhgef18/Arpc5/Arpc5l/Braf/C9orf72/Capg/Capn1/Capza1/Clasp1/Clasp2/Coro1a/Coro1b/Cotl1/Dbn1/Dbnl/Flii/Gmfb/Gmfg/Gpr65/Grb2/Hcls1/Inpp5k/Lats1/Limk1/Map3k1/Mtpn/Mtss1/Myadm/Nckap1l/Pak2/Pfn1/Pik3ca/Pik3r1/Pik3r2/Plekhg2/Prex1/Prkcd/Ptk2b/Rnh1/Rock2/Sdc4/Sh3bp1/Slit2/Snx9/Sptbn1/Ssh2/Stmn1/Swap70/Tgfbr1/Tmsb15b2/Trim27/Ttc8/Was/Wasf2/Wdr1" 62 "" "" "BP"
"GO:0045814" "GO:0045814" "negative regulation of gene expression, epigenetic" "45/2454" "144/12912" 0.3125 1.64425427872861 3.76591073554339 0.000276693336119738 0.151542077160973 0.150314444868789 "Atrx/Baz1a/Baz2a/Bcl6/Brca1/Cbx3/Cdk2/Dnmt3a/Dnmt3b/Dot1l/Dubr/Dyrk1a/Ezh1/Ftx/H3f3b/Hnrnpu/Kcnq1ot1/Kdm5a/Kmt2a/L3mbtl3/Lbr/Lrif1/Mettl4/Morc2a/Mta1/Mtf2/N6amt1/Ncor2/Nrde2/Rb1/Rbm15b/Rif1/Rlf/Rlim/Rsl1/Smarca4/Smarcad1/Spty2d1/Tpr/Trim27/Trip12/Ubr5/Xist/Ythdc1/Znfx1" 45 "" "" "BP"
"GO:0051494" "GO:0051494" "negative regulation of cytoskeleton organization" "43/2454" "136/12912" 0.316176470588235 1.66359844671365 3.76851514036598 0.000282043694697511 0.151542077160973 0.150314444868789 "Add3/Arap1/Arfgef1/Arhgef18/Arhgef7/Capg/Capn1/Capza1/Ccdc88c/Clasp1/Clasp2/Coro1a/Coro1b/Dbn1/Dyrk1a/Eml2/Flii/Gmfb/Gmfg/Inpp5j/Inpp5k/Map3k1/Mfn2/Mtpn/Myadm/Nubp1/Pak2/Pfn1/Pik3ca/Pik3r1/Prkcd/Sgk1/Slit2/Smad4/Sptbn1/Ssh2/Stmn1/Swap70/Taok1/Tmsb15b2/Was/Wasf2/Wdr47" 43 "" "" "BP"
"GO:0048193" "GO:0048193" "Golgi vesicle transport" "74/2454" "268/12912" 0.276119402985075 1.45283363135423 3.62874732169527 0.000335446928620239 0.163850577043322 0.162523234411892 "Ankfy1/Ap1g1/Ap1g2/Ap3s2/Arcn1/Arf4/Arfgap2/Arfgef2/Arl1/Bcap29/Cog7/Copa/Copb1/Copg2/Coro7/Creb3l2/Cyth3/Eps15/Ergic3/Exoc1/Exoc2/Exoc6/Exoc8/Gcc2/Golga2/Golga5/Golph3l/Gosr2/Kdelr2/Klhl12/Krt18/Llgl1/Llgl2/Mia2/Mon2/Mppe1/Myo5a/Nrbp1/Nsf/Prepl/Rab1b/Rab4b/Rabep1/Rbsn/Rer1/Sec13/Sec22c/Sec23a/Sec24d/Sec31a/Slc10a7/Snx1/Snx8/Sorl1/Sptbn1/Stx18/Stx5a/Surf4/Sys1/Tex261/Tmed10/Tmed2/Tmed7/Tmed9/Trappc1/Trappc10/Trappc11/Trip11/Vcp/Vps35l/Vps41/Vps51/Vps52/Vti1a" 74 "" "" "BP"
"GO:0000380" "GO:0000380" "alternative mRNA splicing, via spliceosome" "24/2454" "64/12912" 0.375 1.97310513447433 3.78028800367297 0.000408653526375234 0.182974616434511 0.181492351231387 "Bcas2/Cdk13/Celf2/Dhx9/Dyrk1a/Eif4a3/Hnrnpa1/Hnrnpm/Hnrnpu/Hnrnpul1/Khdrbs1/Malat1/Nsrp1/Rbm15b/Rbm25/Rbmxl1/Rest/Sap18b/Sfswap/Srsf12/Srsf9/Tia1/Ythdc1/Zbtb7a" 24 "" "" "BP"
